index	fx	cinefile	fps	v	date	
30	0.112	/Volumes/Stephane/Vortex_Turbulence/2016_11_12/PIV_sv_vp_X10mm_Makro100mm_tube_fps5000_A0mm_piston12mm_v250mm_f5Hz__Cam_12621_Cine7.cine	5000.0	250.0	2016_11_12	
12	0.112	/Volumes/Stephane/Vortex_Turbulence/2016_11_12/PIV_sv_vp_X10mm_Makro100mm_tube_fps5000_A0mm_piston12mm_v250mm_f5Hz__Cam_12621_Cine1.cine	5000.0	250.0	2016_11_12	
15	0.112	/Volumes/Stephane/Vortex_Turbulence/2016_11_12/PIV_sv_vp_X10mm_Makro100mm_tube_fps5000_A0mm_piston12mm_v250mm_f5Hz__Cam_12621_Cine2.cine	5000.0	250.0	2016_11_12	
14	0.112	/Volumes/Stephane/Vortex_Turbulence/2016_11_12/PIV_sv_vp_X10mm_Makro100mm_tube_fps3000_A0mm_piston12mm_v150mm_f5Hz__Cam_12621_Cine2.cine	3000.0	150.0	2016_11_12	
33	0.112	/Volumes/Stephane/Vortex_Turbulence/2016_11_12/PIV_sv_vp_X10mm_Makro100mm_tube_fps5000_A0mm_piston12mm_v250mm_f5Hz__Cam_12621_Cine8.cine	5000.0	250.0	2016_11_12	
39	0.112	/Volumes/Stephane/Vortex_Turbulence/2016_11_12/PIV_sv_vp_X10mm_Makro100mm_tube_fps5000_A0mm_piston12mm_v250mm_f5Hz__Cam_12621_Cine10.cine	5000.0	250.0	2016_11_12	
32	0.112	/Volumes/Stephane/Vortex_Turbulence/2016_11_12/PIV_sv_vp_X10mm_Makro100mm_tube_fps3000_A0mm_piston12mm_v150mm_f5Hz__Cam_12621_Cine8.cine	3000.0	150.0	2016_11_12	
27	0.112	/Volumes/Stephane/Vortex_Turbulence/2016_11_12/PIV_sv_vp_X10mm_Makro100mm_tube_fps5000_A0mm_piston12mm_v250mm_f5Hz__Cam_12621_Cine6.cine	5000.0	250.0	2016_11_12	
20	0.112	/Volumes/Stephane/Vortex_Turbulence/2016_11_12/PIV_sv_vp_X10mm_Makro100mm_tube_fps3000_A0mm_piston12mm_v150mm_f5Hz__Cam_12621_Cine4.cine	3000.0	150.0	2016_11_12	
35	0.112	/Volumes/Stephane/Vortex_Turbulence/2016_11_12/PIV_sv_vp_X10mm_Makro100mm_tube_fps3000_A0mm_piston12mm_v150mm_f5Hz__Cam_12621_Cine9.cine	3000.0	150.0	2016_11_12	
26	0.112	/Volumes/Stephane/Vortex_Turbulence/2016_11_12/PIV_sv_vp_X10mm_Makro100mm_tube_fps3000_A0mm_piston12mm_v150mm_f5Hz__Cam_12621_Cine6.cine	3000.0	150.0	2016_11_12	
38	0.112	/Volumes/Stephane/Vortex_Turbulence/2016_11_12/PIV_sv_vp_X10mm_Makro100mm_tube_fps3000_A0mm_piston12mm_v150mm_f5Hz__Cam_12621_Cine10.cine	3000.0	150.0	2016_11_12	
18	0.112	/Volumes/Stephane/Vortex_Turbulence/2016_11_12/PIV_sv_vp_X10mm_Makro100mm_tube_fps5000_A0mm_piston12mm_v250mm_f5Hz__Cam_12621_Cine3.cine	5000.0	250.0	2016_11_12	
